Address,Price,Beds,Baths,Sizes
"86-34 139th St, Briarwood, NY 11435","$1,249,000",5,4,No display data
"41-24 58th St, Woodside, NY 11377","$1,090,000",6,2.5,"2,000sqft"
"129-30 134th St, South Ozone Park, NY 11420","$675,000",3,2,No display data
"105-13 77th St, Ozone Park, NY 11417","$799,000",3,3,"1,320sqft"
"455 Milford St, Brooklyn, NY 11208","$765,000",5,3,No display data
"1169 Fox St, Bronx, NY 10459","$949,999",6,3,"2,760sqft"
"159 Cuthbert Rd, Kew Gardens, NY 11415","$1,200,000",3,2.5+,No display data
"34-10 94th St Unit 4G, New York City, NY 11369","$450,000",2,1,No display data
"70 Titus Ave, Staten Island, NY 10306","$828,000",4,3,"1,563sqft"
"133-22 233rd St, Jamaica, NY 11422","$1,800,000",6,4,No display data
"110-20 71 Rd Unit 801, Forest Hills, NY 11375","$490,000",2,1,"1,088sqft"
"3715 Nautilus Ave, Brooklyn, NY 11224","$799,999",4,2,"2,083sqft"
"235 55th St Unit 3A, Brooklyn, NY 11220","$548,000",2,1,685sqft
"118 Wolverine St, Staten Island, NY 10306","$619,000",3,1.5,"1,056sqft"
"8211 16th Ave, Brooklyn, NY 11214","$1,250,000",3,2,"1,920sqft"
"31-37 69th St, Woodside, NY 11377","$875,000",3,2.5,"1,440sqft"
"415 E 37th St Unit 23JK, New York, NY 10016","$1,995,000",4,3,No display data
"7201 4th Ave Apt C3, New York City, NY 11209","$649,000",3,2,No display data
"141 W 24th St Unit 5FL, New York, NY 10011","$3,750,000",4,3,"2,500sqft"
"414 Washington St Unit 4, New York City, NY 10013","$5,850,000",3,3,"3,000sqft"
"76 Madison St Unit 3A, Manhattan, NY 10002","$2,300,000",2,2,"1,769sqft"
"979 Post Ave, Staten Island, NY 10302","$425,000",4,2,"2,078sqft"
"526 Bolton Ave, Bronx, NY 10473","$525,000",3,2.5,"1,290sqft"
"170-08 118th Rd, Jamaica, NY 11434","$669,900",2,1.5,"1,300sqft"
"1068 E 37th St, Brooklyn, NY 11210","$729,000",3,2.5,No display data
"200 Saratoga Ave, Brooklyn, NY 11233","$849,000",3,1.5,No display data
"16-39 Cornelia St, Ridgewood, NY 11385","$1,288,000",6,3,"3,143sqft"
"74-45 Yellowstone Blvd Unit 5C, Forest Hills, NY 11375","$349,000",2,1.5,"1,150sqft"
"255 E 49th St Apt 9D, New York City, NY 10017","$1,575,000",2,2,"1,350sqft"
"10 E 70th St Apt 6C, New York, NY 10021","$2,400,000",2,3.5,No display data
"35-13 109th St, Corona, NY 11368","$1,699,000",7,5,No display data
"316 E 22nd St Apt 4, New York, NY 10010","$4,500,000",4,2.5,"2,415sqft"
"300 Albany St Apt 8I, New York City, NY 10280","$1,150,000",2,2,"1,118sqft"
"250 W 90th St Apt 5A, New York, NY 10024","$1,695,000",2,2.5,No display data
"400 E 51st St Unit 6AB, New York, NY 10022","$3,495,000",4,4,"2,538sqft"
"174 E 74th St Apt 17E, New York, NY 10021","$1,899,000",2,2,No display data
"546 Clinton St Unit 1, New York City, NY 11231","$3,100,000",2,3.5,"2,700sqft"
"313 W 55th St, New York, NY 10019","$4,200,000",4,8,"4,732sqft"
"25 Broad St Ph 1K, New York, NY 10004","$1,735,000",2,2,"1,333sqft"
"360 E 72nd St Apt A1202, New York, NY 10021","$1,650,000",2,2,No display data
"505 W End Ave Apt 10AB, New York, NY 10024","$5,995,000",5,4,No display data
"239 Central Park W Unit 3E, New York, NY 10024","$2,490,000",2,2.5,No display data
"225 Fifth Ave Unit 9S, New York, NY 10010","$3,200,000",2,2,"1,348sqft"
"11 Hoyt St Apt 27L, New York, NY 11201","$1,505,000",2,2,967sqft
"11 Hoyt St Apt 31H, New York, NY 11201","$1,540,000",2,2,987sqft
"11 Hoyt St Apt 28A, New York, NY 11201","$1,830,000",2,2,"1,221sqft"
"11 Hoyt St Apt 19G, New York, NY 11201","$1,440,000",2,2,"1,011sqft"
"111 Hicks St Apt 8N, New York, NY 11201","$1,250,000",2,2,"1,200sqft"
"33 High St, Staten Island, NY 10305","$698,000",2,2.5,"1,410sqft"
"10 Myrna Ln, Staten Island, NY 10312","$799,999",4,3.5,"2,392sqft"
"102-55 67th Dr Unit 6K, Forest Hills, NY 11375","$499,000",2,2,No display data
"1563 E 49th St, Brooklyn, NY 11234","$699,000",3,2.5,No display data
"162-41 Powells Cove Blvd Unit 6S, Beechhurst, NY 11357","$399,888",2,1,No display data
"640 W 237th St Apt 17A, New York City, NY 10463","$1,340,000,000",2,2.5,"1,998sqft"
"162-01 Powells Cove Blvd Unit 2G, Beechhurst, NY 11357","$629,888",3,2,No display data
"162-01 Powells Cove Blvd Unit 4D, Beechhurst, NY 11357","$649,888",3,2,No display data
"9411 Shore Rd Apt 1K, Brooklyn, NY 11209","$439,999",2,1,No display data
"150-64 116th Ave, Jamaica, NY 11434","$729,000",4,3,No display data
"92-24 93rd Ave, Jamaica, NY 11421","$699,000",3,3,No display data
"3720 Bronxwood Ave, Bronx, NY 10469","$900,000",5,1,"2,700sqft"
"31-12 Union St Unit 4B, Flushing, NY 11354","$638,000",2,2,No display data
"10 W 66th St Apt 28C, New York, NY 10023","$3,495,000",4,3.5,No display data
"160-15 45th Ave, Flushing, NY 11358","$1,400,000",7,5,No display data
"1 Wall St Unit 4101, New York City, NY 10005","$10,500,000",3,3,"2,753sqft"
"93-13 68 Ave, Forest Hills, NY 11375","$1,568,000",3,2.5,"2,400sqft"
"147-20 75 Ave, Kew Gardens Hills, NY 11367","$2,099,000",7,3.5,"4,300sqft"
"61-20 Grand Central Pkwy Unit B1502, Forest Hills, NY 11375","$449,000",2,1,"1,175sqft"
"515 W 18th St Unit 906, New York, NY 10011","$7,250,000",3,2.5,"2,091sqft"
"176 Broadway Apt 15A, New York City, NY 10038","$2,000,000",2,2,"1,600sqft"
"721 Fifth Ave Unit 39B, New York, NY 10022","$3,195,000",2,2,"1,587sqft"
"130 E 12th St Apt 6A, New York City, NY 10003","$1,995,000",2,2,"1,545sqft"
"53 Boerum Pl Apt 11A, Brooklyn, NY 11201","$1,150,000",2,2,975sqft
"84-31 103rd Ave, Ozone Park, NY 11417","$599,000",4,2,No display data
"875 E 223rd St, Bronx, NY 10466","$580,000",3,1,"1,690sqft"
"211-65 23rd Ave Unit 5B, Bayside, NY 11360","$338,000",2,1,No display data
"104-11 91st Ave, Richmond Hill, NY 11418","$768,000",4,2,"1,380sqft"
"193-15 109th Ave, Saint Albans, NY 11412","$724,999",4,2.5,No display data
"145-85 224th St, Springfield Gardens, NY 11413","$570,000",3,1.5,No display data
"33 High St, Staten Island, NY 10305","$698,000",2,2.5,"1,410sqft"
"81-23 259th St, Floral Park, NY 11004","$749,999",4,1,No display data
"534 W Caswell Ave, Staten Island, NY 10314","$858,000",5,3,"1,882sqft"
"3210 Arlington Ave Apt 3J, Bronx, NY 10463","$355,000",2,1,950sqft
"186 E 111th St Apt 3, New York City, NY 10029","$825,000",3,2,"1,150sqft"
"356A Vernon Ave, Bed Stuy, NY 11206","$1,400,000",8,3,No display data
"30 Jewell McKoy Ln, Brooklyn, NY 11213","$950,000",4,1.5,"1,452sqft"
"310 E 70th St Apt 12P, New York, NY 10021","$1,999,500",3,2,No display data
"238-32 148th Dr, Rosedale, NY 11422","$889,990",6,2,No display data
"25 Ebony Ct, Brooklyn, NY 11229","$749,000",3,2,"1,165sqft"
No display data,"$11,995,000",6,7.5+,"8,500sqft"
"345 E 50th St Apt 1B, New York, NY 10022","$2,495,000",3,3,"2,877sqft"
"56 Leonard St Apt 31AE, New York, NY 10013","$7,500,000",3,3.5,"2,175sqft"
"1060 Putnam Ave Apt 1R, Brooklyn, NY 11221","$975,000",2,2,"1,200sqft"
"257 49th St, Brooklyn, NY 11220","$1,399,000",2,1,"1,960sqft"
"138 E 36th St Apt 8C, New York, NY 10016","$1,465,000",2,2,"1,600sqft"
"2286 E 4th St, Brooklyn, NY 11223","$1,290,000",3,1.5,"1,584sqft"
"1474 Third Ave Unit 2S, New York, NY 10028","$2,495,000",3,2.5,No display data
"1390 E 95th St, New York, NY 11236","$1,600,000",4,4,No display data
"15 E 30th St Apt 37E, New York, NY 10016","$4,000,000",2,2,"1,402sqft"
"128 W 23rd St Unit 10B, New York, NY 10011","$2,875,000",2,2.5,"1,427sqft"
"4094A DE Reimer Ave, Bronx, NY 10466","$600,000",3,2,"2,340sqft"
"4232 Gunther Ave, Bronx, NY 10466","$555,000",3,1.5,"1,208sqft"
"177A Lamped Loop Unit 46, Staten Island, NY 10314","$400,000",4,2,"1,318sqft"
"342 E 119th St Apt 4E, New York City, NY 10035","$610,000",2,2,No display data
